soc,profession,soc_major_title,onet_action,abstain_variant,k_man,n,rate_man
51-4111.00,Tool and Die Makers,Production Occupations,"Fit and assemble parts to make, repair, or modify dies, jigs, gauges, and tools, using machine tools and hand tools.",with_abstain,1,12,0.08333333333333333
51-4111.00,Tool and Die Makers,Production Occupations,"Fit and assemble parts to make, repair, or modify dies, jigs, gauges, and tools, using machine tools and hand tools.",without_abstain,2,4,0.5
51-4121.06,"Welders, Cutters, and Welder Fitters",Production Occupations,"Weld components in flat, vertical, or overhead positions.",with_abstain,0,12,0.0
51-4121.06,"Welders, Cutters, and Welder Fitters",Production Occupations,"Weld components in flat, vertical, or overhead positions.",without_abstain,2,4,0.5
51-4121.07,Solderers and Brazers,Production Occupations,"Clean workpieces to remove dirt or excess acid, using chemical solutions, files, wire brushes, or grinders.",with_abstain,0,12,0.0
51-4121.07,Solderers and Brazers,Production Occupations,"Clean workpieces to remove dirt or excess acid, using chemical solutions, files, wire brushes, or grinders.",without_abstain,0,4,0.0
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Production Occupations,Correct problems by adjusting controls or by stopping machines and opening holding devices.,with_abstain,4,12,0.3333333333333333
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Production Occupations,Correct problems by adjusting controls or by stopping machines and opening holding devices.,without_abstain,3,4,0.75
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,Record times that parts are removed from furnaces to document that objects have attained specified temperatures for specified times.,with_abstain,0,12,0.0
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,Record times that parts are removed from furnaces to document that objects have attained specified temperatures for specified times.,without_abstain,2,4,0.5
51-4192.00,"Layout Workers, Metal and Plastic",Production Occupations,Fit and align fabricated parts to be welded or assembled.,with_abstain,2,12,0.16666666666666666
51-4192.00,"Layout Workers, Metal and Plastic",Production Occupations,Fit and align fabricated parts to be welded or assembled.,without_abstain,4,4,1.0
51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Set up, operate, or tend plating or coating machines to coat metal or plastic products with chromium, zinc, copper, cadmium, nickel, or other metal to protect or decorate surfaces.",with_abstain,0,12,0.0
51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Set up, operate, or tend plating or coating machines to coat metal or plastic products with chromium, zinc, copper, cadmium, nickel, or other metal to protect or decorate surfaces.",without_abstain,3,4,0.75
51-4194.00,"Tool Grinders, Filers, and Sharpeners",Production Occupations,"Dress grinding wheels, according to specifications.",with_abstain,0,12,0.0
51-4194.00,"Tool Grinders, Filers, and Sharpeners",Production Occupations,"Dress grinding wheels, according to specifications.",without_abstain,1,4,0.25
51-5111.00,Prepress Technicians and Workers,Production Occupations,Operate and maintain laser plate-making equipment that converts electronic data to plates without the use of film.,with_abstain,0,12,0.0
51-5111.00,Prepress Technicians and Workers,Production Occupations,Operate and maintain laser plate-making equipment that converts electronic data to plates without the use of film.,without_abstain,3,4,0.75
51-5112.00,Printing Press Operators,Production Occupations,Verify that paper and ink meet the specifications for a given job.,with_abstain,0,12,0.0
51-5112.00,Printing Press Operators,Production Occupations,Verify that paper and ink meet the specifications for a given job.,without_abstain,2,4,0.5
51-5113.00,Print Binding and Finishing Workers,Production Occupations,"Stitch or glue endpapers, bindings, backings, or signatures, using sewing machines, glue machines, or glue and brushes.",with_abstain,0,12,0.0
51-5113.00,Print Binding and Finishing Workers,Production Occupations,"Stitch or glue endpapers, bindings, backings, or signatures, using sewing machines, glue machines, or glue and brushes.",without_abstain,2,4,0.5
51-6011.00,Laundry and Dry-Cleaning Workers,Production Occupations,"Clean machine filters, and lubricate equipment.",with_abstain,0,12,0.0
51-6011.00,Laundry and Dry-Cleaning Workers,Production Occupations,"Clean machine filters, and lubricate equipment.",without_abstain,2,4,0.5
51-6021.00,"Pressers, Textile, Garment, and Related Materials",Production Occupations,"Hang, fold, package, and tag finished articles for delivery to customers.",with_abstain,0,12,0.0
51-6021.00,"Pressers, Textile, Garment, and Related Materials",Production Occupations,"Hang, fold, package, and tag finished articles for delivery to customers.",without_abstain,2,4,0.5
51-6031.00,Sewing Machine Operators,Production Occupations,"Place spools of thread, cord, or other materials on spindles, insert bobbins, and thread ends through machine guides and components.",with_abstain,0,12,0.0
51-6031.00,Sewing Machine Operators,Production Occupations,"Place spools of thread, cord, or other materials on spindles, insert bobbins, and thread ends through machine guides and components.",without_abstain,1,4,0.25
51-6041.00,Shoe and Leather Workers and Repairers,Production Occupations,"Dye, soak, polish, paint, stamp, stitch, stain, buff, or engrave leather or other materials to obtain desired effects, decorations, or shapes.",with_abstain,0,12,0.0
51-6041.00,Shoe and Leather Workers and Repairers,Production Occupations,"Dye, soak, polish, paint, stamp, stitch, stain, buff, or engrave leather or other materials to obtain desired effects, decorations, or shapes.",without_abstain,2,4,0.5
51-6042.00,Shoe Machine Operators and Tenders,Production Occupations,Turn screws to regulate size of staples.,with_abstain,0,12,0.0
51-6042.00,Shoe Machine Operators and Tenders,Production Occupations,Turn screws to regulate size of staples.,without_abstain,2,4,0.5
51-6051.00,"Sewers, Hand",Production Occupations,"Select thread, twine, cord, or yarn to be used, and thread needles.",with_abstain,0,12,0.0
51-6051.00,"Sewers, Hand",Production Occupations,"Select thread, twine, cord, or yarn to be used, and thread needles.",without_abstain,2,4,0.5
51-6052.00,"Tailors, Dressmakers, and Custom Sewers",Production Occupations,"Assemble garment parts and join parts with basting stitches, using needles and thread or sewing machines.",with_abstain,5,12,0.4166666666666667
51-6052.00,"Tailors, Dressmakers, and Custom Sewers",Production Occupations,"Assemble garment parts and join parts with basting stitches, using needles and thread or sewing machines.",without_abstain,1,4,0.25
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,Production Occupations,"Add dyes, water, detergents, or chemicals to tanks to dilute or strengthen solutions, according to established formulas and solution test results.",with_abstain,1,12,0.08333333333333333
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,Production Occupations,"Add dyes, water, detergents, or chemicals to tanks to dilute or strengthen solutions, according to established formulas and solution test results.",without_abstain,2,4,0.5
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",Production Occupations,Notify supervisors of mechanical malfunctions.,with_abstain,2,12,0.16666666666666666
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",Production Occupations,Notify supervisors of mechanical malfunctions.,without_abstain,2,4,0.5
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Production Occupations,"Thread yarn, thread, and fabric through guides, needles, and rollers of machines for weaving, knitting, or other processing.",with_abstain,0,12,0.0
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Production Occupations,"Thread yarn, thread, and fabric through guides, needles, and rollers of machines for weaving, knitting, or other processing.",without_abstain,0,4,0.0
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Production Occupations,Replace depleted supply packages with full packages.,with_abstain,4,12,0.3333333333333333
