control,layer,val_accuracy,val_balanced_accuracy,val_roc_auc,test_accuracy,test_balanced_accuracy,test_roc_auc
permuted_alignment,11,0.525,0.5100516621743036,0.5176746406109614,0.5039473684210526,0.4981141959140911,0.5007368604854199
permuted_alignment,12,0.5,0.4873371518418688,0.4919418238993711,0.5039473684210526,0.4978697398288807,0.5032792037716081
permuted_alignment,13,0.5118421052631579,0.5019654088050315,0.5019864667565139,0.5013157894736842,0.49497118910424304,0.5082311856120133
permuted_alignment,14,0.5013157894736842,0.4943845462713387,0.49826622866127585,0.5105263157894737,0.5080495896629998,0.5162283918281823
permuted_alignment,15,0.4934210526315789,0.48082322551662177,0.4995226864330638,0.5342105263157895,0.5358477387812117,0.5505011349746813
permuted_alignment,16,0.48947368421052634,0.4828447888589398,0.4863755053908355,0.506578947368421,0.5085908852802514,0.5189523310633839
permuted_alignment,17,0.5026315789473684,0.4940195417789758,0.4848242362982929,0.5263157894736842,0.5256853500960363,0.5246865723764623
permuted_alignment,18,0.5026315789473684,0.4977257412398922,0.4994033580413298,0.48947368421052634,0.487061288632792,0.48379256155055
permuted_alignment,19,0.5184210526315789,0.5140386343216532,0.5217318059299192,0.48289473684210527,0.48299284092893313,0.4752156451894535
permuted_alignment,20,0.5078947368421053,0.5058400718778078,0.5120662061994609,0.4868421052631579,0.4826960013968919,0.4803841452767592
permuted_alignment,21,0.5092105263157894,0.5020777178796046,0.5159689465408805,0.49078947368421055,0.48337698620569236,0.4742378208486118
permuted_alignment,22,0.5197368421052632,0.5087320305480683,0.5157232704402516,0.5052631578947369,0.5020080321285141,0.4882765845992667
permuted_alignment,23,0.5157894736842106,0.5067385444743935,0.5223284478885893,0.5144736842105263,0.5111751353239044,0.5065549153134277
permuted_alignment,24,0.5210526315789473,0.506513926325247,0.4982732479784366,0.5039473684210526,0.5003143006809848,0.49864850707176533
